No,RCH,XRP,Brand,Claim,Spend,Split,Add_id,Gfk id,Occ_id,Channel,Company,Country,Product,Category,Duration,EPG name,Industry,Language,Airing day,Ad block id,Airing date,Airing time,Subcategory,ADScanner ID,Ads in block,EPG category,Occurance id,First or last,Airing daypart,Ad block duration,Position in block,Placement in block,Total ads in block,Position in block  ,Ad block net duration,Before / Within content
1,2.6221,2.6221,eBay ,Things. People. Love,5362,N/A,23179155,01151608,293393384,ZDF,eBay International,Germany,eBay ,Online Retailers,7,Bares für Rares,RETAILERS,,Thursday ,97662073,2025-11-27,15:04:41,Online Retailers,23179155_10257eBay InternationaleBay ,1,Lifestyle,293393384,First,13 - 17,00:07,Before,S,1,1,00:07,Before
2,3.4207,3.4207,eBay ,Things. People. Love,5362,N/A,23179158,01151608,293393401,ZDF,eBay International,Germany,eBay ,Online Retailers,7,heute - in Europa,RETAILERS,,Thursday ,97662074,2025-11-27,15:56:56,Online Retailers,23179158_10257eBay InternationaleBay ,1,Newscast,293393401,First,13 - 17,00:07,Before,S,1,1,00:07,Before
9,2.6351,2.6351,eBay ,Things. People. Love,5362,N/A,23179155,01151608,293465769,ZDF,eBay International,Germany,eBay ,Online Retailers,7,Bares für Rares,RETAILERS,,Friday   ,97668585,2025-11-28,15:05:14,Online Retailers,23179155_10257eBay InternationaleBay ,1,Lifestyle,293465769,First,13 - 17,00:07,Before,S,1,1,00:07,Before
10,3.4056,3.4056,eBay ,Things. People. Love,5362,N/A,23179158,01151608,293465785,ZDF,eBay International,Germany,eBay ,Online Retailers,7,heute - in Europa,RETAILERS,,Friday   ,97668586,2025-11-28,15:57:26,Online Retailers,23179158_10257eBay InternationaleBay ,1,Newscast,293465785,First,13 - 17,00:07,Before,S,1,1,00:07,Before
21,2.3995,2.3995,eBay ,Things. People. Love,5019,N/A,23179155,01151608,293675626,ZDF,eBay International,Germany,eBay ,Online Retailers,7,Bares für Rares,RETAILERS,,Monday   ,97684404,2025-12-01,15:04:59,Online Retailers,23179155_10257eBay InternationaleBay ,1,Lifestyle,293675626,First,13 - 17,00:07,Before,S,1,1,00:07,Before
22,3.3506,3.3506,eBay ,Things. People. Love,5019,N/A,23179158,01151608,293675641,ZDF,eBay International,Germany,eBay ,Online Retailers,7,heute - in Europa,RETAILERS,,Monday   ,97684405,2025-12-01,15:57:15,Online Retailers,23179158_10257eBay InternationaleBay ,1,Newscast,293675641,First,13 - 17,00:07,Before,S,1,1,00:07,Before
710,0.7184,0.7184,eBay ,Things.People.Love.,3276,N/A,23179157,01150806,293654511,RTL,eBay International,Germany,eBay ,Online Retailers,20,Punkt 8,RETAILERS,,Monday   ,97685490,2025-12-01,08:52:05,Online Retailers,23179157_102520eBay InternationaleBay ,22,Newscast,293654511,None,06 - 09,08:36,Within,M,25,22,02:30,Within
742,0.7936,0.7936,eBay ,Things.People.Love.,4572,N/A,23179144,01231002,293660126,RTL,eBay International,Germany,eBay ,Online Retailers,15,Ulrich Wetzel - Das Strafgericht,RETAILERS,,Monday   ,97685494,2025-12-01,10:47:14,Online Retailers,23179144_102515eBay InternationaleBay ,17,Lifestyle,293660126,None,09 - 11,06:08,Within,M,20,17,02:10,Within
764,1.7223,1.7223,eBay ,Things.People.Love.,7203,N/A,23179157,01301206,293666585,RTL,eBay International,Germany,eBay ,Online Retailers,20,Punkt 12 - Das RTL-Mittagsjournal,RETAILERS,,Monday   ,97685498,2025-12-01,12:52:25,Online Retailers,23179157_102520eBay InternationaleBay ,17,Newscast,293666585,None,11 - 13,07:33,Within,M,21,17,00:52,Within
774,1.7902,1.7902,eBay ,Things.People.Love.,6930,N/A,23179110,01291306,293669940,RTL,eBay International,Germany,eBay ,Online Retailers,20,Punkt 12 - Das RTL-Mittagsjournal,RETAILERS,,Monday   ,97685500,2025-12-01,13:48:47,Online Retailers,23179110_102520eBay InternationaleBay ,2,Newscast,293669940,None,13 - 17,07:20,Within,B,22,2,01:05,Within
